close,high,date,low,open,volume_from,volume_to,symbol,btc_price
0,0,2016-01-25,0,0,0,0,BCN,7349
0,0,2016-01-26,0,0,0,0,BCN,7125
0,0,2016-01-27,0,0,0,0,BCN,7125
0,0,2016-01-28,0,0,0,0,BCN,7068
0,0,2016-01-29,0,0,0,0,BCN,6945
0,0,2016-01-30,0,0,0,0,BCN,6700
0,0,2016-01-31,0,0,0,0,BCN,6660
0,0,2016-02-01,0,0,0,0,BCN,6690
0,0,2016-02-02,0,0,0,0,BCN,6869
0,0,2016-02-03,0,0,0,0,BCN,6835
0,0,2016-02-04,0,0,0,0,BCN,6835
0,0,2016-02-05,0,0,0,0,BCN,6899
0,0,2016-02-06,0,0,0,0,BCN,7050
0,0,2016-02-07,0,0,0,0,BCN,6849
0,0,2016-02-08,0,0,0,0,BCN,6859
0,0,2016-02-09,0,0,0,0,BCN,6850
0,0,2016-02-10,0,0,0,0,BCN,6779
0,0,2016-02-11,0,0,0,0,BCN,6780
0,0,2016-02-12,0,0,0,0,BCN,6793
0,0,2016-02-13,0,0,0,0,BCN,6900
0,0,2016-02-14,0,0,0,0,BCN,7000
0,0,2016-02-15,0,0,0,0,BCN,7018
0,0,2016-02-16,0,0,0,0,BCN,7012
0,0,2016-02-17,0,0,0,0,BCN,7094
0,0,2016-02-18,0,0,0,0,BCN,7167
0,0,2016-02-19,0,0,0,0,BCN,7165
0,0,2016-02-20,0,0,0,0,BCN,7399
0,0,2016-02-21,0,0,0,0,BCN,7399
0,0,2016-02-22,0,0,0,0,BCN,7288
0,0,2016-02-23,0,0,0,0,BCN,7390
0,0,2016-02-24,0,0,0,0,BCN,7250
0,0,2016-02-25,0,0,0,0,BCN,7295
0,0,2016-02-26,0,0,0,0,BCN,7211
0,0,2016-02-27,0,0,0,0,BCN,7450
0,0,2016-02-28,0,0,0,0,BCN,7485
0,0,2016-02-29,0,0,0,0,BCN,7698
0,0,2016-03-01,0,0,0,0,BCN,7613
0,0,2016-03-02,0,0,0,0,BCN,7675
0,0,2016-03-03,0,0,0,0,BCN,7619
0,0,2016-03-04,0,0,0,0,BCN,7550
0,0,2016-03-05,0,0,0,0,BCN,7510
0,0,2016-03-06,0,0,0,0,BCN,7449
0,0,2016-03-07,0,0,0,0,BCN,7400
0,0,2016-03-08,0,0,0,0,BCN,7403
0,0,2016-03-09,0,0,0,0,BCN,7385
0,0,2016-03-10,0,0,0,0,BCN,7549
0,0,2016-03-11,0,0,0,0,BCN,7590
0,0,2016-03-12,0,0,0,0,BCN,7527
0,0,2016-03-13,0,0,0,0,BCN,7439
0,0,2016-03-14,0,0,0,0,BCN,7450
0,0,2016-03-15,0,0,0,0,BCN,7487
0,0,2016-03-16,0,0,0,0,BCN,7500
0,0,2016-03-17,0,0,0,0,BCN,7533
0,0,2016-03-18,0,0,0,0,BCN,7504
0,0,2016-03-19,0,0,0,0,BCN,7489
0,0,2016-03-20,0,0,0,0,BCN,7480
0,0,2016-03-21,0,0,0,0,BCN,7428
0,0,2016-03-22,0,0,0,0,BCN,7460
0,0,2016-03-23,0,0,0,0,BCN,7415
0,0,2016-03-24,0,0,0,0,BCN,7405
0,0,2016-03-25,0,0,0,0,BCN,7395
0,0,2016-03-26,0,0,0,0,BCN,7305
0,0,2016-03-27,0,0,0,0,BCN,7364
0,0,2016-03-28,0,0,0,0,BCN,7412
0,0,2016-03-29,0,0,0,0,BCN,7410
0,0,2016-03-30,0,0,0,0,BCN,7344
0,0,2016-03-31,0,0,0,0,BCN,7265
0,0,2016-04-01,0,0,0,0,BCN,7227
0,0,2016-04-02,0,0,0,0,BCN,7166
0,0,2016-04-03,0,0,0,0,BCN,7140
0,0,2016-04-04,0,0,0,0,BCN,7140
0,0,2016-04-05,0,0,0,0,BCN,7100
0,0,2016-04-06,0,0,0,0,BCN,7000
0,0,2016-04-07,0,0,0,0,BCN,6954
0,0,2016-04-08,0,0,0,0,BCN,6999
0,0,2016-04-09,0,0,0,0,BCN,6994
0,0,2016-04-10,0,0,0,0,BCN,6981
0,0,2016-04-11,0,0,0,0,BCN,6982
0,0,2016-04-12,0,0,0,0,BCN,7099
0,0,2016-04-13,0,0,0,0,BCN,7000
0,0,2016-04-14,0,0,0,0,BCN,6888
0,0,2016-04-15,0,0,0,0,BCN,6750
0,0,2016-04-16,0,0,0,0,BCN,6914
0,0,2016-04-17,0,0,0,0,BCN,6878
0,0,2016-04-18,0,0,0,0,BCN,6812
0,0,2016-04-19,0,0,0,0,BCN,6775
0,0,2016-04-20,0,0,0,0,BCN,6756
0,0,2016-04-21,0,0,0,0,BCN,6909
0,0,2016-04-22,0,0,0,0,BCN,6950
0,0,2016-04-23,0,0,0,0,BCN,6995
0,0,2016-04-24,0,0,0,0,BCN,7100
0,0,2016-04-25,0,0,0,0,BCN,7200
0,0,2016-04-26,0,0,0,0,BCN,7300
0,0,2016-04-27,0,0,0,0,BCN,7340
0,0,2016-04-28,0,0,0,0,BCN,7125
0,0,2016-04-29,0,0,0,0,BCN,7150
0,0,2016-04-30,0,0,0,0,BCN,7136
0,0,2016-05-01,0,0,0,0,BCN,7130
0,0,2016-05-02,0,0,0,0,BCN,7129
0,0,2016-05-03,0,0,0,0,BCN,7094
0,0,2016-05-04,0,0,0,0,BCN,7097
0,0,2016-05-05,0,0,0,0,BCN,7140
0,0,2016-05-06,0,0,0,0,BCN,7174
0,0,2016-05-07,0,0,0,0,BCN,7296
0,0,2016-05-08,0,0,0,0,BCN,7333
0,0,2016-05-09,0,0,0,0,BCN,7448
0,0,2016-05-10,0,0,0,0,BCN,7500
0,0,2016-05-11,0,0,0,0,BCN,7479
0,0,2016-05-12,0,0,0,0,BCN,7550
0,0,2016-05-13,0,0,0,0,BCN,7519
0,0,2016-05-14,0,0,0,0,BCN,7535
0,0,2016-05-15,0,0,0,0,BCN,7545
0,0,2016-05-16,0,0,0,0,BCN,7565
0,0,2016-05-17,0,0,0,0,BCN,7676
0,0,2016-05-18,0,0,0,0,BCN,7649
0,0,2016-05-19,0,0,0,0,BCN,7595
0,0,2016-05-20,0,0,0,0,BCN,7521
0,0,2016-05-21,0,0,0,0,BCN,7525
0,0,2016-05-22,0,0,0,0,BCN,7548
0,0,2016-05-23,0,0,0,0,BCN,7510
0,0,2016-05-24,0,0,0,0,BCN,7509
0,0,2016-05-25,0,0,0,0,BCN,7476
0,0,2016-05-26,0,0,0,0,BCN,7450
0,0,2016-05-27,0,0,0,0,BCN,7796
0,0,2016-05-28,0,0,0,0,BCN,8498
0,0,2016-05-29,0,0,0,0,BCN,8680
0,0,2016-05-30,0,0,0,0,BCN,9500
0,0,2016-05-31,0,0,0,0,BCN,9450
0,0,2016-06-01,0,0,0,0,BCN,9075
0,0,2016-06-02,0,0,0,0,BCN,9040
0,0,2016-06-03,0,0,0,0,BCN,9332
0,0,2016-06-04,0,0,0,0,BCN,9594
0,0,2016-06-05,0,0,0,0,BCN,9500
0,0,2016-06-06,0,0,0,0,BCN,9500
0,0,2016-06-07,0,0,0,0,BCN,9700
0,0,2016-06-08,0,0,0,0,BCN,9450
0,0,2016-06-09,0,0,0,0,BCN,9283
0,0,2016-06-10,0,0,0,0,BCN,9300
0,0,2016-06-11,0,0,0,0,BCN,9550
0,0,2016-06-12,0,0,0,0,BCN,10643
0,0,2016-06-13,0,0,0,0,BCN,11494
0,0,2016-06-14,0,0,0,0,BCN,11300
0,0,2016-06-15,0,0,0,0,BCN,11200
0,0,2016-06-16,0,0,0,0,BCN,12470
0,0,2016-06-17,0,0,0,0,BCN,12463
0,0,2016-06-18,0,0,0,0,BCN,12463
0,0,2016-06-19,0,0,0,0,BCN,12495
0,0,2016-06-20,0,0,0,0,BCN,12448
0,0,2016-06-21,0,0,0,0,BCN,11850
0,0,2016-06-22,0,0,0,0,BCN,10800
0,0,2016-06-23,0,0,0,0,BCN,10330
0,0,2016-06-24,0,0,0,0,BCN,11501
0,0,2016-06-25,0,0,0,0,BCN,10880
0,0,2016-06-26,0,0,0,0,BCN,10660
0,0,2016-06-27,0,0,0,0,BCN,10500
0,0,2016-06-28,0,0,0,0,BCN,10699
0,0,2016-06-29,0,0,0,0,BCN,10550
0,0,2016-06-30,0,0,0,0,BCN,10589
0,0,2016-07-01,0,0,0,0,BCN,10971
0,0,2016-07-02,0,0,0,0,BCN,10820
0,0,2016-07-03,0,0,0,0,BCN,10839
0,0,2016-07-04,0,0,0,0,BCN,10597
0,0,2016-07-05,0,0,0,0,BCN,10652
0,0,2016-07-06,0,0,0,0,BCN,10650
0,0,2016-07-07,0,0,0,0,BCN,10618
0,0,2016-07-08,0,0,0,0,BCN,10350
0,0,2016-07-09,0,0,0,0,BCN,10310
0,0,2016-07-10,0,0,0,0,BCN,10275
0,0,2016-07-11,0,0,0,0,BCN,10249
0,0,2016-07-12,0,0,0,0,BCN,10300
0,0,2016-07-13,0,0,0,0,BCN,10300
0,0,2016-07-14,0,0,0,0,BCN,10296
0,0,2016-07-15,0,0,0,0,BCN,10155
0,0,2016-07-16,0,0,0,0,BCN,10214
0,0,2016-07-17,0,0,0,0,BCN,10200
0,0,2016-07-18,0,0,0,0,BCN,10298
0,0,2016-07-19,0,0,0,0,BCN,10240
0,0,2016-07-20,0,0,0,0,BCN,10185
0,0,2016-07-21,0,0,0,0,BCN,10160
0,0,2016-07-22,0,0,0,0,BCN,10150
0,0,2016-07-23,0,0,0,0,BCN,10140
0,0,2016-07-24,0,0,0,0,BCN,10149
0,0,2016-07-25,0,0,0,0,BCN,10148
0,0,2016-07-26,0,0,0,0,BCN,10059
0,0,2016-07-27,0,0,0,0,BCN,10065
0,0,2016-07-28,0,0,0,0,BCN,10200
0,0,2016-07-29,0,0,0,0,BCN,9970
0,0,2016-07-30,0,0,0,0,BCN,9914
0,0,2016-07-31,0,0,0,0,BCN,9875
0,0,2016-08-01,0,0,0,0,BCN,9473
0,0,2016-08-02,0,0,0,0,BCN,9197
0,0,2016-08-03,0,0,0,0,BCN,8859
0,0,2016-08-04,0,0,0,0,BCN,8940
0,0,2016-08-05,0,0,0,0,BCN,8700
0,0,2016-08-06,0,0,0,0,BCN,8700
0,0,2016-08-07,0,0,0,0,BCN,9062
0,0,2016-08-08,0,0,0,0,BCN,8999
0,0,2016-08-09,0,0,0,0,BCN,8808
0,0,2016-08-10,0,0,0,0,BCN,8668
0,0,2016-08-11,0,0,0,0,BCN,8543
0,0,2016-08-12,0,0,0,0,BCN,8480
0,0,2016-08-13,0,0,0,0,BCN,8450
0,0,2016-08-14,0,0,0,0,BCN,8445
0,0,2016-08-15,0,0,0,0,BCN,8180
0,0,2016-08-16,0,0,0,0,BCN,8100
0,0,2016-08-17,0,0,0,0,BCN,8044
0,0,2016-08-18,0,0,0,0,BCN,8149
0,0,2016-08-19,0,0,0,0,BCN,8549
0,0,2016-08-20,0,0,0,0,BCN,8685
0,0,2016-08-21,0,0,0,0,BCN,8700
0,0,2016-08-22,0,0,0,0,BCN,8614
0,0,2016-08-23,0,0,0,0,BCN,8600
0,0,2016-08-24,0,0,0,0,BCN,8548
0,0,2016-08-25,0,0,0,0,BCN,8499
0,0,2016-08-26,0,0,0,0,BCN,8450
0,0,2016-08-27,0,0,0,0,BCN,8498
0,0,2016-08-28,0,0,0,0,BCN,8396
0,0,2016-08-29,0,0,0,0,BCN,8469
0,0,2016-08-30,0,0,0,0,BCN,8490
0,0,2016-08-31,0,0,0,0,BCN,8530
0,0,2016-09-01,0,0,0,0,BCN,8612
0,0,2016-09-02,0,0,0,0,BCN,8671
0,0,2016-09-03,0,0,0,0,BCN,9003
0,0,2016-09-04,0,0,0,0,BCN,9148
0,0,2016-09-05,0,0,0,0,BCN,9405
0,0,2016-09-06,0,0,0,0,BCN,9383
0,0,2016-09-07,0,0,0,0,BCN,9299
0,0,2016-09-08,0,0,0,0,BCN,9289
0,0,2016-09-09,0,0,0,0,BCN,9235
0,0,2016-09-10,0,0,0,0,BCN,9299
0,0,2016-09-11,0,0,0,0,BCN,9300
0,0,2016-09-12,0,0,0,0,BCN,9174
0,0,2016-09-13,0,0,0,0,BCN,9171
0,0,2016-09-14,0,0,0,0,BCN,9171
0,0,2016-09-15,0,0,0,0,BCN,9191
0,0,2016-09-16,0,0,0,0,BCN,9120
0,0,2016-09-17,0,0,0,0,BCN,9120
0,0,2016-09-18,0,0,0,0,BCN,9146
0,0,2016-09-19,0,0,0,0,BCN,9134
0,0,2016-09-20,0,0,0,0,BCN,9105
0,0,2016-09-21,0,0,0,0,BCN,8900
0,0,2016-09-22,0,0,0,0,BCN,8700
0,0,2016-09-23,0,0,0,0,BCN,8720
0,0,2016-09-24,0,0,0,0,BCN,8950
0,0,2016-09-25,0,0,0,0,BCN,8850
0,0,2016-09-26,0,0,0,0,BCN,8850
0,0,2016-09-27,0,0,0,0,BCN,8840
0,0,2016-09-28,0,0,0,0,BCN,8742
0,0,2016-09-29,0,0,0,0,BCN,8750
0,0,2016-09-30,0,0,0,0,BCN,8825
0,0,2016-10-01,0,0,0,0,BCN,8747
0,0,2016-10-02,0,0,0,0,BCN,8798
0,0,2016-10-03,0,0,0,0,BCN,8798
0,0,2016-10-04,0,0,0,0,BCN,8795
0,0,2016-10-05,0,0,0,0,BCN,8800
0,0,2016-10-06,0,0,0,0,BCN,8800
0,0,2016-10-07,0,0,0,0,BCN,8889
0,0,2016-10-08,0,0,0,0,BCN,8949
0,0,2016-10-09,0,0,0,0,BCN,8926
0,0,2016-10-10,0,0,0,0,BCN,8900
0,0,2016-10-11,0,0,0,0,BCN,9443
0,0,2016-10-12,0,0,0,0,BCN,9499
0,0,2016-10-13,0,0,0,0,BCN,9400
0,0,2016-10-14,0,0,0,0,BCN,9479
0,0,2016-10-15,0,0,0,0,BCN,9390
0,0,2016-10-16,0,0,0,0,BCN,9395
0,0,2016-10-17,0,0,0,0,BCN,9450
0,0,2016-10-18,0,0,0,0,BCN,9410
0,0,2016-10-19,0,0,0,0,BCN,9285
0,0,2016-10-20,0,0,0,0,BCN,9220
0,0,2016-10-21,0,0,0,0,BCN,9195
0,0,2016-10-22,0,0,0,0,BCN,9600
0,0,2016-10-23,0,0,0,0,BCN,9490
0,0,2016-10-24,0,0,0,0,BCN,9435
0,0,2016-10-25,0,0,0,0,BCN,9438
0,0,2016-10-26,0,0,0,0,BCN,9648
0,0,2016-10-27,0,0,0,0,BCN,9994
0,0,2016-10-28,0,0,0,0,BCN,10100
0,0,2016-10-29,0,0,0,0,BCN,10450
0,0,2016-10-30,0,0,0,0,BCN,10400
0,0,2016-10-31,0,0,0,0,BCN,10290
0,0,2016-11-01,0,0,0,0,BCN,10492
0,0,2016-11-02,0,0,0,0,BCN,10500
0,0,2016-11-03,0,0,0,0,BCN,10447
0,0,2016-11-04,0,0,0,0,BCN,10126
0,0,2016-11-05,0,0,0,0,BCN,10182
0,0,2016-11-06,0,0,0,0,BCN,10283
0,0,2016-11-07,0,0,0,0,BCN,10395
0,0,2016-11-08,0,0,0,0,BCN,10245
0,0,2016-11-09,0,0,0,0,BCN,10750
0,0,2016-11-10,0,0,0,0,BCN,10405
0,0,2016-11-11,0,0,0,0,BCN,10640
0,0,2016-11-12,0,0,0,0,BCN,10647
0,0,2016-11-13,0,0,0,0,BCN,10547
0,0,2016-11-14,0,0,0,0,BCN,10501
